"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "XML", "JavaScript", "Markdown", "Shell Script", "HTML", "YAML", "CSS", "Log", "SQLite", "PostCSS", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/public/vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/App.tsx", "TypeScript JSX", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 219
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/AIAnalysisPanel.tsx", "TypeScript JSX", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 222
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/BattleResultsView.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 230
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/PartySummary.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/StatisticsPanel.tsx", "TypeScript JSX", 0, 708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 41, 769
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/TurnDetail.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PartyConfig/CharacterSlot.tsx", "TypeScript JSX", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 216
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PartyConfig/PartyConfigPanel.tsx", "TypeScript JSX", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 285
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PresetManager/PresetSelector.tsx", "TypeScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 184
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/constants/aiSystemPrompt.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 116
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/main.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/vajrap/workspace/MyProject/Client/battle-simulator/src/services/api.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 188
