"filename", "language", "XML", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "JavaScript", "Markdown", "Shell Script", "HTML", "YAML", "Docker", "CSS", "Log", "Properties", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_app_game_mock_page_tsx_d3f5148e._.js", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_app_game_page_tsx_d3f5148e._.js", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_app_layout_tsx_e94b0144._.js", "JavaScript", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_app_login_page_tsx_d3f5148e._.js", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_app_register_page_tsx_d3f5148e._.js", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_b32b435d._.js", "JavaScript", 0, 0, 0, 0, 0, -4450, 0, 0, 0, 0, 0, 0, 0, 0, -258, -10, -4718
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_d14323f6._.js", "JavaScript", 0, 0, 0, 0, 0, -1563, 0, 0, 0, 0, 0, 0, 0, 0, -28, -5, -1596
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_e4de5882._.js", "JavaScript", 0, 0, 0, 0, 0, -3547, 0, 0, 0, 0, 0, 0, 0, 0, -37, -38, -3622
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_f5f8e666._.js", "JavaScript", 0, 0, 0, 0, 0, -3133, 0, 0, 0, 0, 0, 0, 0, 0, -61, -7, -3201
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_pages__app_2da965e7._.js", "JavaScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/chunks/workspace_MyProject_Client_webapp_pages__error_2da965e7._.js", "JavaScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/development/_buildManifest.js", "JavaScript", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/development/_clientMiddlewareManifest.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/static/development/_ssgManifest.js", "JavaScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/types/cache-life.d.ts", "TypeScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106, -14, -146
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/types/routes.d.ts", "TypeScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -12, -80
"/Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/types/validator.ts", "TypeScript", 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -19, -134
"/Users/vajrap/workspace/MyProject/Client/webapp/API_TYPES_REFACTOR_PLAN.md", "Markdown", 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, -14, -53
"/Users/vajrap/workspace/MyProject/Client/webapp/COMPONENT_ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 0, -170, 0, 0, 0, 0, 0, 0, 0, 0, -35, -205
"/Users/vajrap/workspace/MyProject/Client/webapp/GAME_PAGE_DATA_STATUS.md", "Markdown", 0, 0, 0, 0, 0, 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, -20, -77
"/Users/vajrap/workspace/MyProject/Client/webapp/GAME_UI_INTEGRATION_PLAN.md", "Markdown", 0, 0, 0, 0, 0, 0, -166, 0, 0, 0, 0, 0, 0, 0, 0, -46, -212
"/Users/vajrap/workspace/MyProject/Client/webapp/GAME_VIEW_DESIGN.md", "Markdown", 0, 0, 0, 0, 0, 0, -468, 0, 0, 0, 0, 0, 0, 0, 0, -99, -567
